[16:19:45] UDP: 192.168.0.6 -> 224.0.0.251
[16:19:45] UDP: 192.168.0.6 -> 224.0.0.251
[16:19:45] UDP: 192.168.0.6 -> 224.0.0.251
[16:19:45] UDP: 192.168.0.2 -> 224.0.0.251
[16:19:45] UDP: 192.168.0.2 -> 224.0.0.251
[16:19:45] UDP: 192.168.0.2 -> 224.0.0.251
[16:19:45] UDP: 192.168.0.2 -> 224.0.0.251
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] TCP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] OTHER: 192.168.0.1 -> 224.0.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:06] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:07] UDP: 192.168.0.2 -> 255.255.255.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:09] UDP: 192.168.0.1 -> 192.168.0.255
[16:20:10] TCP: 192.168.0.1 -> 192.168.0.6
[16:20:10] OTHER: 192.168.0.6 -> 224.0.0.22
[16:20:12] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:12] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:12] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:12] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:12] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:12] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:12] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:12] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:12] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:12] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:12] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:12] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:12] UDP: 192.168.0.2 -> 255.255.255.255
[16:20:13] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:13] UDP: 192.168.0.6 -> 192.168.0.1
[16:20:13] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:13] UDP: 192.168.0.1 -> 192.168.0.6
[16:20:15] OTHER: 192.168.0.6 -> 224.0.0.22
[16:20:17] UDP: 192.168.0.2 -> 224.0.0.251
[16:20:17] UDP: 192.168.0.2 -> 224.0.0.251
